dataset,protocol,metric,tau,mean,std,ci_lo,ci_hi,n_folds,p_holm_vs_clean,sig_vs_clean,delta_vs_clean,delta_ci_lo,delta_ci_hi,r_rb,p_perm_vs_clean,p_perm_holm_vs_clean,concordant
imbalanced,pretrained_adam,balanced_accuracy,0.0,0.7494312960234173,0.027169133038416168,0.7324642054757654,0.7660623503043483,10,nan,---,,,,,,,True
imbalanced,pretrained_adam,balanced_accuracy,0.1,0.609436589671853,0.029835337818149746,0.5915127554735613,0.6284868943887403,10,0.009765625,-**,-0.13999470635156425,-0.16052860694309037,-0.12125341111733012,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,balanced_accuracy,0.2,0.6023901739509616,0.03546891610088557,0.5790937911612488,0.6231604752298111,10,0.009765625,-**,-0.1470411220724555,-0.1689344426912171,-0.1251030601806214,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,balanced_accuracy,0.3,0.5429261387642884,0.04000326296929388,0.5183918646698766,0.5677034126069407,10,0.009765625,-**,-0.20650515725912882,-0.22664986026417383,-0.18748877739553743,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,balanced_accuracy,0.4,0.5232735730034139,0.024501549724560843,0.5073532607231236,0.5375877193926379,10,0.009765625,-**,-0.22615772302000323,-0.24482615003774827,-0.20621880478424356,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,balanced_accuracy,0.5,0.4823738447994227,0.042872695987577425,0.4563821802018315,0.5102440012987541,10,0.009765625,-**,-0.2670574512239945,-0.2861353368841797,-0.24679138270937157,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_f1,0.0,0.567743227940075,0.03376565649316508,0.5469232718526456,0.5887674781799828,10,nan,---,,,,,,,True
imbalanced,pretrained_adam,macro_f1,0.1,0.2552552645507892,0.01716329449115403,0.24520136307826865,0.2663397445419465,10,0.009765625,-**,-0.3124879633892857,-0.33479409394094156,-0.2910482253812301,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_f1,0.2,0.2372219341531466,0.017158273614152005,0.2263497999056278,0.2475892815990501,10,0.009765625,-**,-0.3305212937869283,-0.352165067977973,-0.31079565223516126,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_f1,0.3,0.20574516630436154,0.01290705997028957,0.19793054629931373,0.21387543448092955,10,0.009765625,-**,-0.36199806163571335,-0.38076101436980114,-0.34392390874059203,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_f1,0.4,0.18837490138086144,0.008632119722319838,0.1830900478395545,0.1938115995222399,10,0.009765625,-**,-0.3793683265592135,-0.40117074156722615,-0.3584219023617365,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_f1,0.5,0.16962671828397935,0.014071507602051978,0.1603858628762534,0.17815091586558812,10,0.009765625,-**,-0.3981165096560956,-0.4167978413535505,-0.38018250512228385,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_auc,0.0,0.9450886730450201,0.0069232501832732765,0.9408555271678024,0.9493830401181084,10,nan,---,,,,,,,True
imbalanced,pretrained_adam,macro_auc,0.1,0.8759734086972418,0.010876514080419675,0.8695110722682435,0.8829140975242863,10,0.009765625,-**,-0.0691152643477783,-0.07597792119150278,-0.0627995397846925,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_auc,0.2,0.862605250607146,0.013495208897118525,0.8537555843070255,0.8704657382499876,10,0.009765625,-**,-0.08248342243787402,-0.09150612620725834,-0.07373059313205987,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_auc,0.3,0.8330279580414656,0.021775470812412257,0.819414471187784,0.8464225741004137,10,0.009765625,-**,-0.11206071500355437,-0.1237832118388333,-0.10050449760761065,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_auc,0.4,0.8222721897409428,0.013730095650720949,0.8134203625829904,0.8303141360827538,10,0.009765625,-**,-0.12281648330407724,-0.13186847671511015,-0.11419941976675331,-1.0,0.001953125,0.009765625,True
imbalanced,pretrained_adam,macro_auc,0.5,0.7999700535518743,0.023173635780359254,0.7848818598334308,0.813769781156031,10,0.009765625,-**,-0.14511861949314575,-0.15891077197547573,-0.132144443627668,-1.0,0.001953125,0.009765625,True
