dataset,noise_type,tau,mae_mean,mae_std,ci_lo,ci_hi,cosine_mean,cosine_std,cosine_ci_lo,cosine_ci_hi,n_folds
imbalanced,feature_driven,0.1,0.1002331490754417,0.009925521274772295,0.09358420899822129,0.10573325705443429,0.868088871659751,0.03196906622786228,0.8507081549479552,0.8900431718644931,10
imbalanced,feature_driven,0.2,0.09494237450979151,0.006522907739101064,0.09079622730192895,0.0988822445770143,0.8913132262003474,0.0219484502774631,0.8781824450244446,0.9052455061928023,10
imbalanced,feature_driven,0.3,0.09333479231951572,0.0023220264924188653,0.09183895456797153,0.09475175822521845,0.8975671109943587,0.0123275494275241,0.8903797276043763,0.905646105880832,10
imbalanced,feature_driven,0.4,0.09299546603136,0.002832739017433525,0.09119193879982067,0.09468440561168998,0.89650113912514,0.01452570211185365,0.8872031280416575,0.9053072199227571,10
imbalanced,feature_driven,0.5,0.09299141696239445,0.003346262280844891,0.09095749034356605,0.09508521093996092,0.8984336371837705,0.01428179054360082,0.8897447427192605,0.9074742222020565,10
imbalanced,normalized,0.1,0.2118829874842231,0.030500782738252193,0.19320930898033659,0.23095452953866397,0.39994772148266006,0.12859237394513162,0.31993321329621577,0.4801025088674536,10
imbalanced,normalized,0.2,0.21213237893061,0.030693830425314705,0.19339116362021616,0.23141692434428712,0.3954146856216249,0.12984983968847238,0.31527849493703625,0.4764338770933005,10
imbalanced,normalized,0.3,0.21095756456813275,0.03167023218058104,0.19152920727503525,0.23084266528885555,0.3962036963462864,0.1328290409510354,0.3138629644184306,0.47874478232177836,10
imbalanced,normalized,0.4,0.21061691879355351,0.031519147761562824,0.19120823842128576,0.23028365590178476,0.39736582545743054,0.13387375880894728,0.31460698552884686,0.4807426934860378,10
imbalanced,normalized,0.5,0.2111069676737773,0.032283374064830055,0.19096882345146973,0.23105618665829825,0.3953957858549412,0.13668549698590035,0.31090174040774193,0.4809712962396573,10
