tau,class,n_true,n_noisy,total,purity,prior_n
0.0,akiec,205.2,0.0,205.2,1.0,205.2
0.0,bcc,294.3,0.0,294.3,1.0,294.3
0.0,bkl,654.3,0.0,654.3,1.0,654.3
0.0,df,65.7,0.0,65.7,1.0,65.7
0.0,mel,552.6,0.0,552.6,1.0,552.6
0.0,nv,4862.7,0.0,4862.7,1.0,4862.7
0.0,vasc,88.2,0.0,88.2,1.0,88.2
0.1,akiec,181.3,60.2,241.5,0.7507246376811595,205.2
0.1,bcc,256.6,62.1,318.70000000000005,0.8051459052400376,294.3
0.1,bkl,567.6,194.0,761.6,0.7452731092436975,654.3
0.1,df,58.1,55.1,113.2,0.5132508833922261,65.7
0.1,mel,483.3,405.6,888.9000000000001,0.543705703678704,552.6
0.1,nv,4240.7,33.6,4274.3,0.9921390637063378,4862.7
0.1,vasc,77.3,47.5,124.8,0.6193910256410257,88.2
0.2,akiec,164.3,102.5,266.8,0.6158170914542729,205.2
0.2,bcc,234.9,100.4,335.3,0.7005666567253206,294.3
0.2,bkl,518.6,318.8,837.4000000000001,0.6192978266061618,654.3
0.2,df,52.9,87.0,139.9,0.3781272337383845,65.7
0.2,mel,436.4,636.8,1073.1999999999998,0.40663436451733137,552.6
0.2,nv,3866.7,55.8,3922.5,0.985774378585086,4862.7
0.2,vasc,70.7,77.2,147.9,0.47802569303583503,88.2
0.3,akiec,146.3,152.5,298.8,0.48962516733601075,205.2
0.3,bcc,207.7,147.6,355.29999999999995,0.5845764142977765,294.3
0.3,bkl,456.7,456.1,912.8,0.5003286590709903,654.3
0.3,df,46.4,130.5,176.9,0.2622950819672131,65.7
0.3,mel,384.7,933.2,1317.9,0.2919037863267319,552.6
0.3,nv,3404.6,81.7,3486.2999999999997,0.9765654131887676,4862.7
0.3,vasc,62.2,112.8,175.0,0.3554285714285714,88.2
0.4,akiec,127.8,201.6,329.4,0.3879781420765028,205.2
0.4,bcc,180.0,195.5,375.5,0.4793608521970706,294.3
0.4,bkl,391.6,603.6,995.2,0.3934887459807074,654.3
0.4,df,39.7,177.1,216.8,0.1831180811808118,65.7
0.4,mel,327.0,1239.9,1566.9,0.20869232242006508,552.6
0.4,nv,2926.9,108.0,3034.9,0.9644139839862927,4862.7
0.4,vasc,53.3,151.0,204.3,0.2608908467939305,88.2
0.5,akiec,109.1,255.9,365.0,0.29890410958904107,205.2
0.5,bcc,148.0,238.4,386.4,0.3830227743271222,294.3
0.5,bkl,327.6,770.6,1098.2,0.2983063194317975,654.3
0.5,df,34.7,217.4,252.10000000000002,0.13764379214597383,65.7
0.5,mel,272.3,1547.0,1819.3,0.14967295113505194,552.6
0.5,nv,2434.8,135.0,2569.8,0.9474667289283213,4862.7
0.5,vasc,44.5,187.7,232.2,0.19164513350559864,88.2
