protocol,method,tau,n_folds,expected_folds,missing_folds,complete
S,baseline,0.0,10,10,,True
S,baseline,0.1,10,10,,True
S,baseline,0.2,10,10,,True
S,baseline,0.3,10,10,,True
S,baseline,0.4,10,10,,True
S,baseline,0.5,10,10,,True
S,SCE,0.0,10,10,,True
S,SCE,0.1,10,10,,True
S,SCE,0.2,10,10,,True
S,SCE,0.3,10,10,,True
S,SCE,0.4,10,10,,True
S,SCE,0.5,10,10,,True
S,ELR,0.0,10,10,,True
S,ELR,0.1,10,10,,True
S,ELR,0.2,10,10,,True
S,ELR,0.3,10,10,,True
S,ELR,0.4,10,10,,True
S,ELR,0.5,10,10,,True
S,AsyCo,0.0,10,10,,True
S,AsyCo,0.1,10,10,,True
S,AsyCo,0.2,10,10,,True
S,AsyCo,0.3,10,10,,True
S,AsyCo,0.4,10,10,,True
S,AsyCo,0.5,10,10,,True
SP,baseline,0.0,10,10,,True
SP,baseline,0.1,10,10,,True
SP,baseline,0.2,10,10,,True
SP,baseline,0.3,10,10,,True
SP,baseline,0.4,10,10,,True
SP,baseline,0.5,10,10,,True
SP,SCE,0.0,10,10,,True
SP,SCE,0.1,10,10,,True
SP,SCE,0.2,10,10,,True
SP,SCE,0.3,10,10,,True
SP,SCE,0.4,10,10,,True
SP,SCE,0.5,10,10,,True
SP,ELR,0.0,10,10,,True
SP,ELR,0.1,10,10,,True
SP,ELR,0.2,10,10,,True
SP,ELR,0.3,10,10,,True
SP,ELR,0.4,10,10,,True
SP,ELR,0.5,10,10,,True
SP,AsyCo,0.0,10,10,,True
SP,AsyCo,0.1,10,10,,True
SP,AsyCo,0.2,10,10,,True
SP,AsyCo,0.3,10,10,,True
SP,AsyCo,0.4,10,10,,True
SP,AsyCo,0.5,10,10,,True
A,baseline,0.0,10,10,,True
A,baseline,0.1,10,10,,True
A,baseline,0.2,10,10,,True
A,baseline,0.3,10,10,,True
A,baseline,0.4,10,10,,True
A,baseline,0.5,10,10,,True
A,SCE,0.0,10,10,,True
A,SCE,0.1,10,10,,True
A,SCE,0.2,10,10,,True
A,SCE,0.3,10,10,,True
A,SCE,0.4,10,10,,True
A,SCE,0.5,10,10,,True
A,ELR,0.0,10,10,,True
A,ELR,0.1,10,10,,True
A,ELR,0.2,10,10,,True
A,ELR,0.3,10,10,,True
A,ELR,0.4,10,10,,True
A,ELR,0.5,10,10,,True
A,AsyCo,0.0,10,10,,True
A,AsyCo,0.1,10,10,,True
A,AsyCo,0.2,10,10,,True
A,AsyCo,0.3,10,10,,True
A,AsyCo,0.4,10,10,,True
A,AsyCo,0.5,10,10,,True
AP,baseline,0.0,10,10,,True
AP,baseline,0.1,10,10,,True
AP,baseline,0.2,10,10,,True
AP,baseline,0.3,10,10,,True
AP,baseline,0.4,10,10,,True
AP,baseline,0.5,10,10,,True
AP,SCE,0.0,10,10,,True
AP,SCE,0.1,10,10,,True
AP,SCE,0.2,10,10,,True
AP,SCE,0.3,10,10,,True
AP,SCE,0.4,10,10,,True
AP,SCE,0.5,10,10,,True
AP,ELR,0.0,10,10,,True
AP,ELR,0.1,10,10,,True
AP,ELR,0.2,10,10,,True
AP,ELR,0.3,10,10,,True
AP,ELR,0.4,10,10,,True
AP,ELR,0.5,10,10,,True
AP,AsyCo,0.0,10,10,,True
AP,AsyCo,0.1,10,10,,True
AP,AsyCo,0.2,10,10,,True
AP,AsyCo,0.3,10,10,,True
AP,AsyCo,0.4,10,10,,True
AP,AsyCo,0.5,10,10,,True
